6207, 505, 2847, 30189
6223, -1873, 211, 9892
6239, 1952, -681, 29087
6255, -5263, 3412, 52239
6271, 2943, 6278, 83603
6287, -306, -5311, 54710
6303, -5216, 3322, 35655
6319, -4125, 4488, 39559
6335, 1665, 4737, 83936
6351, -6146, 4149, 124391
6367, 25, 811, 91435
6383, -815, 909, 50324
6399, -1171, 3687, 86685
6415, 599, 3189, 83658
6431, -2633, -4091, 86753
6447, -2345, -2664, 64818
6463, -2768, 3730, 72659
6479, -1463, 3740, 130429
6495, -440, -2384, 122213
6511, -1690, 135, 44062
6527, 1195, 1955, 9429
6543, 600, 988, 17067
6559, 1164, -9377, 19753
6575, 1195, -3601, 14655
6591, -572, 5140, 19212
6607, 3224, 1388, 154
6623, 4484, -4086, 762
6639, -641, 2064, 5608
6655, 730, -4234, 29605
6671, 687, -695, 35912
6687, 2485, 6653, 22147
6703, 1765, -6385, 30327
6719, -5900, -4164, 10907
6735, 746, 1604, 45391
6751, 2603, 5472, 29405
6767, 1028, 6386, 29775
6783, -2316, 1781, 16348
6799, 965, -8328, 4264
6815, -3730, -230, 16311
6831, 749, -7830, 30381
6847, 11546, -5093, 29075
6863, 5306, -3328, 4492
6879, 3011, -3789, 14304
6895, 5022, 507, 19024
6911, 2717, 2956, 30453
6927, -6831, 6258, 53558
6943, 3594, 854, 36191
6959, 3665, 4305, 70887
6975, -190, 1684, 68559
6991, -6039, -4502, 109277
7007, -439, -3819, 63439
7023, 138, -1004, 45618
7039, 563, 8390, 30316
7055, 734, -399, 3484
7071, 7863, -541, 8227
7087, -304, -1351, 28817
7103, 2003, 3752, 44489
7119, 3826, 4582, 45066
7135, 9092, 610, 15351
7151, -1599, -4305, 8679
7167, 6042, -3579, 12904
7183, -8055, -2153, 4813
7199, 6861, 8657, 8257
7215, 4440, 4330, 2667
7231, 1367, -638, 19528
7247, -2006, -835, 21912
7263, 1951, 2903, 33665
7279, 2696, -3425, 60437
7295, 1521, -230, 76261
7311, -1240, 6373, 89857
7327, -875, 1089, 69942
7343, 1272, 1373, 69023
7359, -2004, 1095, 190814
7375, 721, 8284, 200767
7391, 5492, 2707, 165571
7407, 463, 360, 187894
7423, 3527, 3766, 174986
7439, -978, 5677, 188965
7455, 652, 1270, 172942
7471, -3671, 1343, 177908
7487, -3079, 3829, 132716
7503, -3168, 3374, 90274
7519, 6472, 3578, 84473
7535, 13570, -2436, 90646
7551, 3118, -7597, 71485
7567, 5363, -1468, 48704
7583, 525, 2167, 17388
7599, 6378, 4799, 26803
7615, 3121, 2870, 1785
7631, 883, 3168, 1858
7647, 2340, -3341, 11973
7663, 2538, -215, 33771
7679, 4339, -2849, 52232
7695, 986, 2799, 55307
7711, 427, -187, 47457
7727, 1617, -3941, 42727
7743, 4585, 1350, 33473
7759, 608, 10677, 46805
7775, 3434, -247, 74212
7791, 6461, -1108, 72951
7807, 3527, 3054, 93216
7823, 3920, -2387, 160554
7839, 2424, 2028, 191156
7855, -5087, -1350, 209929
7871, -2838, 4611, 161565
7887, -2985, 729, 174414
7903, 546, -1560, 111148
7919, -2171, 4782, 125295
7935, -271, 1368, 195976
7951, 1854, 1390, 191287
7967, -4487, 768, 135899
7983, 5488, 1099, 133819
7999, 2185, 2307, 171316
8015, 2356, -9339, 170018
8031, -1040, 668, 168542
8047, -10664, 3274, 151297
8063, -1261, -3739, 135475
8079, 9946, 8275, 74834
8095, -4306, -4687, 89343
8111, -3541, -1810, 79578
8127, 494, -3113, 148842
8143, 4822, 4653, 148156
8159, -926, 7828, 207980
8175, 1973, -486, 152232
8191, 4605, -945, 124767
8207, -479, -1809, 200561
8223, -6813, -197, 215169
8239, -9164, 7686, 138108
8255, -5429, -2265, 84251
8271, -2387, -4076, 64161
8287, 1261, -3161, 38812
8303, 1738, -3727, 53852
8319, 1582, -4422, 77522
8335, 6068, 2450, 166489
8351, -2141, 2903, 117925
8367, 315, 5647, 96139
8383, 939, 4205, 91982
8399, -2645, 913, 104836
8415, 464, 2270, 144550
8431, 577, 2039, 140273
8447, 4683, 1048, 104861
8463, 40, 2846, 73305
8479, -4447, 4076, 35920
8495, -512, 4635, 37943
8511, 1120, 3583, 23073
8527, 2335, 3345, 24429
8543, -1929, 954, 49040
8559, 6029, -249, 69613
8575, -155, 5664, 93869
8591, -2079, -8513, 64200
8607, -922, -3288, 98712
8623, 3352, -3292, 83257
8639, 774, -2016, 40437
8655, -4793, -6874, 29322
8671, 2108, -4565, 36336
8687, 13223, 3023, 19937
8703, 4449, 988, 45323
8719, -2397, 3998, 53149
8735, -4388, -2723, 24442
8751, 4327, 796, 8042
8767, 2313, -6845, 27071
8783, -4113, 26, 12148
8799, -133, -7935, 3374
8815, 8896, 384, 9774
8831, -6465, 3449, 7892
8847, -4721, 1714, 6836
8863, 401, 6062, 56262
8879, 593, -4998, 57504
8895, -6064, -1131, 31067
8911, -2820, 1867, 30395
8927, -2783, 2855, 11702
8943, -1985, -37, 16706
8959, 208, -1004, 54137
8975, -1723, -1443, 41509
8991, -3891, -343, 25106
9007, -3003, -230, 67850
9023, -4652, 2822, 135384
9039, -6468, -7363, 157128
9055, -2825, -7516, 152035
9071, 3944, 5773, 59199
9087, -5744, -5038, 73562
9103, 3702, -3853, 94963
9119, -1160, 4309, 26625
9135, 795, 1479, 27876
9151, -1356, 1820, 18246
9167, -2056, 313, 33626
9183, -5296, 2871, 48684
9199, 3972, 867, 70741
9215, -11514, 932, 81001
9231, -875, 1710, 58688
9247, -279, 6551, 30415
9263, -6615, 2247, 99610
9279, 2294, -2470, 188643
9295, 1945, 734, 161932
9311, -2462, 2158, 227957
9327, 1413, 4532, 192804
9343, 2646, 7832, 208312
9359, 1876, -1457, 209398
9375, -4700, -7974, 103610
9391, 2086, 5737, 53467
9407, -4141, 80, 64114
9423, -2160, -4955, 16194
9439, 364, -604, 14615
9455, -4180, 5781, 27389
9471, -5693, -1051, 2993
9487, -4725, 424, 12713
9503, -3201, 1102, 9426
9519, 2966, 2468, 1880
9535, 5959, 3858, 585
9551, 1641, 2586, 10225
9567, -6258, -4618, 3488
9583, -6638, -2274, 27236
9599, 4722, -2202, 27746
9615, 2921, 5048, 9754
9631, -2795, -477, 20721
9647, 7603, -4333, 42075
9663, 5153, 1967, 59113
9679, 1294, 713, 74026
9695, 756, 1530, 151583
9711, 8867, 306, 179096
9727, 3997, 6426, 139866
9743, -1173, -1140, 85781
9759, 3009, 1888, 110577
9775, 3129, -4200, 156195
9791, -3801, -2669, 213957
9807, -1480, 4941, 175777
9823, 4573, 1511, 132794
9839, 10116, 654, 99258
9855, -1779, -749, 51106
9871, 1800, 2780, 52371
9887, 7960, -2791, 43677
9903, 4169, -1893, 37576
9919, 7883, -1677, 60195
9935, 1305, -8019, 19054
9951, -2377, -7598, 7737
9967, -2588, -4752, 8789
9983, 4721, 4066, 14691
9999, 2565, 2759, 10555
10015, -3205, 302, 24569
10031, 588, -3027, 24225
10047, 2177, -148, 48146
10063, 3884, -6398, 11180
10079, 2247, -4699, 55038
10095, -6974, -1670, 64623
10111, -4824, 531, 64787
10127, 6976, 4177, 68700
10143, 2203, 3051, 111739
10159, -4160, -6156, 63364
10175, -168, -905, 39027
10191, 8948, 3075, 55861
10207, 4021, 7914, 61613
10223, -6152, 4450, 52679
10239, 3676, 1364, 58842
10255, 2478, 43, 41126
10271, 2048, -1549, 16203
10287, 4870, 504, 15792
10303, -6892, -2770, 42534
10319, -4342, -3886, 25080
10335, -9893, -1072, 117835
10351, 135, -2065, 169644
10367, 1206, 4926, 154816
10383, -1684, -3315, 173326
10399, -1601, 7015, 147613
10415, -2506, -1346, 174837
10431, 1593, 8645, 146198
10447, 1767, 12155, 165533
10463, -5718, 4898, 138991
10479, 676, -2920, 114675
10495, 5280, 1151, 121373
10511, 10617, -618, 141118
10527, 3572, -3139, 113462
10543, 1156, -6280, 58009
10559, -3037, -2868, 40142
10575, 6240, 787, 57758
10591, 5684, -5381, 118783
10607, -8137, -3093, 213911
10623, 1234, 1568, 237149
10639, 3849, 7443, 261991
10655, -4548, 6473, 253155
10671, -474, -1515, 192809
10687, -3248, 6444, 197555
10703, -4577, 573, 152371
10719, -1328, -2118, 152030
10735, 9654, -316, 69002
