SampleIdx,Signal_I,Strobe_Center,Strobe_Joint
950,-11863,0,0
951,12721,0,0
952,2885,0,0
953,3120,0,0
954,-58,0,0
955,16823,0,0
956,16554,0,0
957,-3991,0,0
958,8315,0,0
959,8052,0,0
960,17285,0,0
961,11852,0,0
962,-532,0,0
963,-15938,0,0
964,-16904,0,0
965,1703,0,0
966,-838,0,0
967,19988,0,0
968,-1084,0,0
969,6679,0,0
970,8699,0,0
971,20979,0,0
972,-14257,0,0
973,21092,0,0
974,-15440,0,0
975,-1982,0,0
976,-3381,0,0
977,-20518,0,0
978,-15911,0,0
979,16135,0,0
980,7048,0,0
981,-20695,0,0
982,-2719,0,0
983,-12891,0,0
984,10467,0,0
985,9830,0,0
986,-16329,0,0
987,874,0,0
988,3933,0,0
989,5060,0,0
990,21608,0,0
991,-9964,0,0
992,18851,0,0
993,-17167,0,0
994,2117,0,0
995,-2072,0,0
996,-8178,0,0
997,13801,0,0
998,-12766,0,0
999,-15914,0,0
1000,-8225,0,0
1001,-20159,0,0
1002,15909,0,0
1003,-18428,0,0
1004,558,0,0
1005,18542,0,0
1006,-12767,0,0
1007,-1477,0,0
1008,-17970,0,0
1009,-11849,0,0
1010,-17920,0,0
1011,17342,0,0
1012,13462,0,0
1013,-22919,0,0
1014,15193,0,0
1015,19054,0,0
1016,-6991,0,0
1017,20873,0,0
1018,16383,0,0
1019,12895,0,0
1020,-9521,0,0
1021,13562,0,0
1022,-16542,0,0
1023,13616,0,0
1024,7730,0,-15000
1025,2822,0,0
1026,15105,0,0
1027,13232,0,0
1028,-5722,0,0
1029,16755,0,0
1030,-12018,0,0
1031,10453,0,0
1032,1522,0,0
1033,481,0,0
1034,-4179,0,0
1035,-5793,0,0
1036,-3895,0,0
1037,-3918,0,0
1038,6012,0,0
1039,8483,0,0
1040,17871,0,0
1041,11641,0,0
1042,-10186,0,0
1043,11372,0,0
1044,16688,0,0
1045,3993,0,0
1046,-10193,0,0
1047,485,0,0
1048,17055,0,0
1049,-15287,0,0
1050,1128,0,0
1051,-17910,0,0
1052,-12720,0,0
1053,10658,0,0
1054,-5992,0,0
1055,10022,0,0
1056,15792,0,0
1057,-10710,0,0
1058,3986,0,0
1059,4149,0,0
1060,20659,0,0
1061,16779,0,0
1062,12033,0,0
1063,-6194,0,0
1064,-23107,0,0
1065,2676,0,0
1066,4265,0,0
1067,11659,0,0
1068,-10361,0,0
1069,12636,0,0
1070,2660,0,0
1071,-18186,0,0
1072,-11436,0,0
1073,-11364,0,0
1074,-22172,0,0
1075,20694,0,0
1076,-18113,0,0
1077,-21181,0,0
1078,-13356,0,0
1079,11048,0,0
1080,6923,0,0
1081,18891,0,0
1082,-8574,0,0
1083,-2911,0,0
1084,1826,0,0
1085,5716,0,0
1086,1636,0,0
1087,-14443,0,0
1088,7169,0,0
1089,14077,0,0
1090,-14672,0,0
1091,-13061,0,0
1092,6541,0,0
1093,-11702,0,0
1094,-7445,0,0
1095,-6015,0,0
1096,-15055,0,0
1097,-8665,0,0
1098,-9814,0,0
1099,-18765,0,0
1100,15673,0,0
1101,13134,0,0
1102,11670,0,0
1103,2270,0,0
1104,-15255,0,0
1105,10891,0,0
1106,-16185,0,0
1107,-14518,0,0
1108,-12234,0,0
1109,-319,0,0
1110,-14616,0,0
1111,-1067,0,0
1112,-8097,0,0
1113,-14230,0,0
1114,2789,0,0
1115,-11581,0,0
1116,5366,0,0
1117,-22864,0,0
1118,8347,0,0
1119,-2637,0,0
1120,-4696,0,0
1121,-4521,0,0
1122,-5747,0,0
1123,-18878,0,0
1124,2374,0,0
1125,4803,0,0
1126,-3391,0,0
1127,9907,0,0
1128,-3914,0,0
1129,7749,0,0
1130,-4471,0,0
1131,-18661,0,0
1132,-5722,0,0
1133,-8238,0,0
1134,8131,0,0
1135,16550,0,0
1136,7037,0,0
1137,3240,0,0
1138,-8429,0,0
1139,-3345,0,0
1140,5857,0,0
1141,-739,0,0
1142,-8063,0,0
1143,5825,0,0
1144,-6752,0,0
1145,-18664,0,0
1146,894,0,0
1147,21998,0,0
1148,-7112,0,0
