SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
16,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
32,0.55,0.56,0.57,0.57,0.58,0.58,0.58,0.59,0.59,0.60,0.60
48,2.11,2.14,2.16,2.19,2.21,2.24,2.26,2.28,2.30,2.32,2.33
64,3.14,3.23,3.32,3.41,3.50,3.58,3.67,3.75,3.83,3.90,3.97
80,10.04,10.30,10.54,10.76,10.96,11.14,11.31,11.45,11.57,11.66,11.73
96,23.84,24.62,25.36,26.05,26.69,27.27,27.78,28.24,28.62,28.92,29.15
112,43.86,45.54,47.13,48.61,49.98,51.22,52.31,53.25,54.03,54.63,55.05
128,74.00,77.05,79.89,82.51,84.87,86.94,88.69,90.09,91.13,91.79,92.06
144,110.06,115.46,120.52,125.17,129.33,132.94,135.95,138.29,139.93,140.83,140.98
160,149.41,157.79,165.63,172.78,179.12,184.53,188.91,192.17,194.23,195.05,194.59
176,166.25,176.28,185.64,194.15,201.64,207.96,212.98,216.58,218.68,219.21,218.16
192,190.61,202.19,212.75,222.05,229.89,236.06,240.44,242.89,243.36,241.81,238.27
208,212.31,224.69,235.59,244.74,251.91,256.92,259.62,259.95,257.89,253.49,246.87
224,246.76,260.26,271.33,279.64,284.93,287.01,285.84,281.47,274.06,263.86,251.22
240,298.02,320.08,338.37,352.10,360.64,363.58,360.70,352.08,338.02,319.07,295.99
256,310.29,339.54,364.87,385.09,399.21,406.44,406.32,398.69,383.81,362.24,334.92
272,313.53,347.73,378.11,403.15,421.53,432.17,434.36,427.79,412.60,389.40,359.23
288,311.69,346.95,378.51,404.78,424.35,436.08,439.16,433.24,418.40,395.24,364.82
304,304.10,335.76,364.13,387.93,406.03,417.45,421.47,417.67,405.99,386.73,360.59
320,311.28,335.30,355.35,370.95,381.79,387.67,388.48,384.17,374.75,360.28,340.91
336,335.34,350.01,358.60,361.79,360.63,356.30,349.91,342.31,333.90,324.57,313.80
352,373.27,378.19,373.53,361.44,344.82,326.87,310.51,297.94,290.20,287.06,287.01
368,440.67,431.21,405.71,368.89,327.05,287.05,255.15,235.93,231.42,240.77,260.39
384,518.99,501.40,459.27,399.46,331.70,267.01,215.77,185.81,180.93,200.19,238.05
400,596.33,578.60,526.57,448.31,356.52,266.44,193.11,148.47,139.04,164.57,218.06
416,632.11,611.69,552.57,463.99,360.59,259.92,179.17,131.83,124.89,157.47,220.93
432,668.18,646.93,581.83,483.20,367.79,255.80,166.98,116.60,112.26,152.27,226.09
448,683.69,650.99,574.16,466.25,346.26,235.49,153.29,113.05,119.51,167.97,245.53
464,659.96,604.35,514.31,406.44,299.78,211.86,155.45,136.38,153.19,198.17,259.49
480,657.29,576.44,468.84,355.99,258.20,190.11,158.07,160.09,187.84,230.06,275.82
496,697.89,589.38,454.17,321.80,218.33,159.71,148.54,175.11,222.16,271.36,309.12
512,705.27,578.81,430.74,294.59,197.33,152.28,156.76,195.04,245.39,288.28,312.58
528,710.08,569.90,412.67,274.94,183.94,150.20,166.27,211.59,261.52,296.72,309.28
544,700.98,545.32,382.53,250.93,174.83,158.24,186.23,233.12,273.76,293.10,290.45
560,685.77,525.86,365.88,242.83,177.17,168.26,197.83,239.70,271.31,282.13,275.64
576,677.69,508.91,347.73,231.35,176.85,178.04,211.69,249.69,271.60,271.98,259.79
592,706.63,529.42,353.67,223.50,162.55,167.43,212.33,262.51,290.48,287.16,263.34
608,724.76,529.20,339.31,205.69,152.88,172.15,228.97,281.53,300.90,283.04,247.29
624,730.67,509.63,308.79,183.32,151.84,192.25,257.10,299.75,297.54,259.97,218.82
640,747.54,506.87,292.94,167.47,147.88,203.75,277.26,316.04,299.96,247.70,200.78
656,785.68,533.24,298.34,155.55,132.54,199.92,290.95,340.49,320.63,252.49,188.56
672,805.26,551.29,306.40,152.03,123.60,194.99,296.05,353.93,334.36,258.10,183.50
688,819.07,558.64,305.39,146.37,119.93,197.93,304.74,362.80,337.51,253.99,176.27
704,810.14,558.80,311.72,152.20,119.75,191.50,297.08,360.02,341.80,261.83,181.24
720,775.42,522.87,295.63,160.27,137.10,196.86,280.57,331.19,321.22,263.30,199.92
736,726.93,453.77,256.30,172.11,177.05,219.09,257.15,276.51,278.64,266.04,241.11
752,703.14,393.50,214.70,181.73,222.17,252.40,244.17,227.43,238.34,271.86,287.72
768,700.44,346.45,177.10,191.41,269.05,290.78,238.07,185.69,205.72,284.95,338.88
784,712.82,319.12,150.10,198.04,306.16,324.34,238.52,158.08,184.36,298.32,380.54
800,687.31,299.04,151.60,215.20,318.41,318.17,221.20,149.36,195.08,318.71,390.59
816,644.12,282.06,166.32,236.50,318.04,294.40,199.26,152.61,218.83,335.35,380.15
832,620.25,270.70,174.37,250.64,320.15,281.55,186.39,154.92,234.00,345.97,373.64
848,620.70,280.75,179.08,243.33,308.74,278.36,193.32,161.42,229.92,333.87,365.71
864,630.25,296.34,180.83,230.19,297.52,282.18,205.73,165.13,218.80,320.60,365.86
880,653.19,312.33,174.87,214.81,295.32,297.16,219.11,160.39,203.44,316.54,381.10
896,675.03,319.71,165.74,206.93,302.65,312.26,224.00,151.19,195.84,324.73,398.51
912,674.56,324.38,167.77,203.32,298.58,313.42,228.51,152.37,191.80,321.23,400.95
928,662.26,325.24,174.77,203.15,289.81,307.38,232.27,158.53,189.44,311.97,396.66
944,637.46,322.18,187.55,206.56,275.68,294.40,236.90,170.43,187.43,295.85,387.55
960,642.02,346.13,192.56,188.41,265.92,310.45,256.00,165.86,170.37,298.35,413.01
976,658.09,372.32,192.15,169.76,264.99,333.82,271.73,154.97,157.39,312.63,441.93
992,660.08,387.45,195.99,159.58,261.32,346.16,283.29,150.67,149.10,320.03,459.96
1008,665.15,398.15,196.46,152.83,262.22,356.19,288.53,145.65,146.20,328.52,469.99
1024,685.67,409.31,188.32,147.28,273.98,368.79,284.02,135.85,151.72,342.49,469.39
1040,713.56,426.31,178.00,139.96,291.23,386.83,277.29,122.69,161.39,362.17,465.68
1056,725.37,447.18,177.34,129.46,299.62,407.19,280.61,111.51,165.14,382.46,471.90
1072,743.03,459.40,171.54,125.81,311.64,417.81,275.09,104.86,173.41,392.19,464.81
1088,776.53,488.65,162.23,117.85,337.25,441.38,263.99,92.15,192.58,411.04,446.55
1104,833.27,517.97,143.20,118.63,377.08,457.17,237.76,85.50,222.56,415.21,406.91
1120,916.90,552.02,116.72,130.06,432.63,465.82,199.16,88.51,262.21,402.66,352.13
1136,1017.62,591.79,89.79,151.76,497.91,469.03,157.33,103.17,305.51,376.63,297.01
1152,1102.25,623.29,70.75,175.74,550.26,466.05,126.78,122.93,336.61,348.47,262.24
1168,1209.13,629.95,45.47,222.54,592.80,426.44,97.36,162.94,344.92,290.96,254.42
1184,1342.98,652.23,23.78,282.89,649.29,387.00,71.47,215.89,355.37,230.15,260.47
1200,1468.53,697.81,12.59,338.20,715.64,368.04,52.50,267.87,375.22,183.73,270.52
1216,1601.86,763.36,8.28,398.55,795.77,359.01,37.94,327.44,401.63,141.40,289.51
1232,1663.98,792.83,7.94,428.68,829.90,352.24,35.01,355.76,408.21,123.75,306.39
1248,1721.50,826.12,9.25,457.79,865.83,348.09,33.11,384.60,415.04,107.47,325.72
1264,1704.13,843.59,12.43,449.47,884.34,368.17,27.19,389.21,437.46,106.07,314.97
1280,1693.23,817.51,9.58,441.78,857.14,358.67,30.94,372.98,423.85,114.49,308.89
1296,1711.71,801.22,6.88,447.42,836.71,342.00,36.54,363.25,405.00,120.30,310.46
1312,1704.94,755.09,3.24,434.95,786.74,328.81,44.37,331.91,388.77,140.00,291.14
1328,1634.01,692.09,3.16,390.46,733.93,348.38,45.77,295.04,410.02,163.06,250.54
1344,1529.16,636.16,8.89,334.25,703.19,395.20,41.77,274.47,462.97,177.48,214.47
1360,1448.51,580.62,17.46,287.29,671.56,439.89,43.03,257.85,515.86,194.37,185.77
1376,1431.44,544.58,21.90,268.53,641.38,456.19,49.18,242.06,539.19,211.13,167.50
1392,1455.13,542.73,19.91,275.59,629.15,444.88,53.48,232.75,529.70,219.41,161.36
1408,1468.91,549.10,18.06,282.69,628.69,435.85,54.65,230.44,520.08,221.27,160.87
1424,1452.08,550.36,19.24,278.54,638.12,441.72,51.39,237.29,522.34,214.64,166.37
1440,1466.38,562.18,16.73,288.72,639.39,429.04,53.13,233.63,509.24,218.83,163.98
1456,1476.30,580.55,14.01,301.80,646.10,413.20,54.73,230.81,491.25,223.76,161.73
1472,1434.25,623.89,13.67,318.46,697.13,394.77,48.90,248.17,448.39,216.67,175.19
1488,1394.39,692.17,14.91,353.81,760.39,360.79,50.50,262.21,389.11,226.25,182.98
1504,1396.95,767.51,15.76,404.29,799.05,315.83,64.87,256.49,340.88,259.30,172.55
1520,1425.07,869.44,19.84,479.36,831.53,256.77,94.33,236.35,298.12,318.48,147.18
1536,1412.01,1025.39,42.25,590.21,920.43,190.31,143.38,231.60,239.55,410.68,127.41
1552,1395.95,1179.74,75.40,704.07,1013.57,139.44,202.00,233.09,203.39,511.28,113.01
1568,1379.14,1320.39,113.56,811.40,1101.67,103.48,263.02,238.07,187.32,609.09,102.98
1584,1395.28,1459.27,152.15,920.85,1160.00,72.18,326.50,229.30,199.75,697.87,85.87
1600,1411.30,1578.95,188.80,1016.79,1206.42,50.32,383.48,220.31,222.51,770.38,71.23
1616,1378.08,1641.32,216.22,1070.34,1265.78,43.73,421.61,230.87,227.19,826.51,70.85
1632,1311.97,1673.36,240.87,1105.40,1342.48,44.87,456.49,255.05,222.78,888.02,78.19
1648,1231.22,1702.82,270.36,1144.60,1435.15,49.34,500.34,285.09,222.85,963.43,87.35
1664,1145.02,1713.41,297.94,1174.52,1533.12,59.23,545.29,321.40,224.30,1044.31,100.12
1680,1063.49,1721.42,326.94,1206.48,1631.55,71.22,594.60,357.11,233.45,1126.95,111.90
1696,1003.61,1731.29,352.09,1237.10,1708.14,80.66,637.10,381.57,247.85,1189.29,118.00
1712,992.40,1747.08,361.62,1253.96,1723.09,80.14,648.87,381.00,255.68,1197.46,115.28
1728,1002.77,1760.50,361.64,1258.64,1708.73,76.13,643.11,372.31,255.70,1182.55,111.83
1744,1029.13,1789.89,359.83,1265.25,1669.37,67.15,624.19,352.39,251.48,1142.74,106.29
1760,993.75,1788.17,374.37,1285.44,1715.73,71.21,652.93,359.28,267.60,1168.34,101.40
1776,952.86,1745.74,381.90,1286.04,1785.72,84.49,692.67,384.21,286.00,1224.54,101.84
1792,910.44,1703.09,393.80,1293.96,1866.65,99.49,741.62,408.09,312.95,1279.56,98.97
1808,891.83,1655.40,395.34,1285.91,1924.72,114.35,777.17,432.51,332.34,1328.64,100.03
1824,935.59,1637.03,368.25,1240.05,1878.65,116.05,748.03,446.28,310.91,1346.03,114.63
1840,968.78,1688.30,357.45,1229.87,1793.41,102.34,693.98,432.43,276.81,1314.60,127.46
1856,993.76,1803.94,362.85,1249.57,1671.03,79.38,615.76,403.55,229.46,1255.87,148.75
1872,1008.12,1967.44,387.38,1297.14,1532.18,56.46,526.56,374.01,177.17,1195.00,185.25
1888,995.00,2198.41,449.46,1400.92,1387.65,34.91,431.43,339.17,124.89,1121.47,241.86
1904,968.92,2458.20,538.19,1537.69,1256.87,25.40,345.44,318.34,82.31,1069.72,319.91
1920,930.47,2750.83,658.18,1713.52,1140.29,30.59,269.00,314.41,50.85,1043.38,424.55
1936,895.65,3009.77,777.23,1880.82,1055.12,48.75,214.78,330.13,34.73,1052.51,530.69
1952,820.57,3168.21,888.26,2050.07,1051.71,61.65,200.83,324.28,38.61,1026.76,613.37
1968,767.63,3271.79,967.67,2169.98,1054.70,74.84,194.31,327.34,44.16,1022.49,676.45
1984,739.20,3384.77,1036.33,2263.54,1032.79,93.29,178.95,349.89,44.46,1056.58,732.64
2000,735.20,3453.02,1067.95,2299.70,1008.69,104.46,166.84,368.79,41.71,1087.70,752.29
2016,795.70,3542.30,1058.48,2248.09,930.83,114.11,140.98,404.62,26.42,1147.62,713.12
2032,861.56,3648.57,1054.12,2195.96,851.85,126.91,118.87,442.67,14.21,1204.50,664.34
2048,933.73,3783.34,1059.74,2146.86,768.16,145.48,100.04,486.74,5.71,1262.63,606.27
2064,995.87,3917.23,1074.22,2111.37,697.61,165.81,88.59,527.12,2.83,1308.51,552.01
2080,1041.11,4031.89,1092.72,2090.07,645.36,183.96,83.39,558.30,3.75,1337.52,508.33
2096,1084.29,4124.04,1103.30,2062.54,606.65,197.49,84.38,578.22,7.20,1346.05,467.98
2112,1127.40,4157.53,1088.70,2015.83,594.69,197.40,93.28,572.74,11.26,1319.32,442.39
2128,1163.82,4145.56,1059.79,1966.13,602.72,188.23,104.41,552.50,14.07,1279.86,435.78
2144,1176.92,4145.63,1050.99,1948.95,604.78,185.44,108.61,545.46,15.29,1265.22,433.68
2160,1187.24,4184.43,1058.33,1940.64,592.92,189.74,111.89,547.47,18.00,1254.62,421.44
2176,1207.13,4194.46,1048.51,1916.49,594.66,186.37,118.22,537.28,19.87,1233.74,421.00
2192,1190.05,4174.04,1053.52,1937.56,595.89,188.41,112.06,546.40,17.86,1254.57,421.58
2208,1213.11,4011.86,987.77,1914.41,657.83,162.96,108.17,526.94,9.14,1290.44,470.34
2224,1270.13,3852.49,906.68,1865.17,733.80,134.50,112.59,501.13,4.01,1325.53,529.73
2240,1310.89,3711.72,848.82,1848.50,797.39,119.11,112.20,499.13,1.72,1385.37,571.02
2256,1334.81,3495.21,799.16,1893.43,873.92,119.11,98.77,541.82,1.58,1519.03,594.25
2272,1369.77,3310.91,758.92,1938.02,944.72,126.20,90.14,590.53,6.45,1644.30,606.56
2288,1407.16,3146.55,729.38,1990.79,1008.30,140.53,82.97,647.22,14.58,1762.35,605.33
2304,1427.25,3017.61,721.26,2057.47,1047.90,161.49,74.08,705.13,22.50,1849.34,584.69
2320,1397.58,2894.58,760.54,2192.02,1044.19,202.10,53.60,780.72,28.43,1892.16,520.92
2336,1408.44,2741.44,785.70,2326.56,1067.39,249.04,39.24,870.40,41.42,1954.73,459.92
2352,1400.52,2681.11,811.62,2401.58,1063.19,273.87,31.65,907.23,46.05,1957.07,428.11
2368,1392.97,2660.86,826.49,2434.81,1055.73,284.08,28.16,918.52,46.83,1946.78,415.23
2384,1374.45,2702.66,826.98,2406.22,1044.08,271.58,30.37,895.55,42.89,1937.62,430.90
2400,1340.34,2812.15,815.39,2315.46,1032.20,237.52,40.57,844.09,37.62,1947.75,475.68
2416,1290.80,2893.19,832.57,2276.92,1002.20,216.91,46.56,799.71,32.04,1933.01,510.25
2432,1180.61,3063.61,882.49,2209.40,937.37,177.82,63.49,708.98,24.82,1913.49,589.42
2448,1048.50,3233.95,972.84,2182.34,849.18,146.72,86.61,607.14,21.40,1880.74,689.09
2464,961.67,3311.45,1059.46,2214.01,775.60,138.55,102.52,539.25,20.97,1839.05,762.03
2480,877.30,3402.92,1147.71,2235.03,711.42,129.27,126.42,474.96,27.55,1831.90,842.60
2496,819.27,3485.05,1205.21,2230.56,678.32,119.21,148.91,435.67,37.32,1862.22,897.89
2512,782.70,3532.83,1247.78,2234.70,655.43,114.25,164.90,410.74,45.02,1886.12,934.23
2528,742.29,3612.69,1277.83,2204.02,650.58,102.49,183.26,397.47,55.01,1943.15,952.79
2544,709.72,3713.18,1275.60,2132.21,675.77,86.07,195.26,409.24,62.26,2012.60,932.35
2560,701.67,3745.67,1269.12,2104.76,688.71,80.97,196.94,417.95,63.39,2031.17,918.18
2576,708.89,3736.91,1258.37,2103.91,692.77,82.45,192.56,421.51,60.93,2018.73,914.48
2592,737.06,3710.61,1210.47,2094.46,713.67,88.96,173.70,438.34,50.50,1962.46,900.15
2608,786.87,3654.29,1142.02,2100.70,736.98,104.73,146.89,454.73,37.03,1868.82,903.01
2624,815.44,3632.32,1097.11,2098.39,756.52,115.51,130.55,467.42,29.45,1808.46,907.97
2640,782.48,3742.89,1072.33,2010.51,808.25,106.49,122.46,510.34,23.47,1789.21,856.88
2656,727.90,3886.44,1072.08,1909.43,862.48,92.53,121.85,560.28,20.99,1786.63,794.73
2672,682.00,4004.64,1079.58,1830.26,907.20,82.83,123.30,603.36,20.53,1780.69,748.25
2688,640.83,4128.56,1075.86,1747.92,962.46,79.28,120.13,652.19,18.87,1746.77,715.45
2704,626.77,4189.58,1059.74,1707.90,995.54,83.01,113.34,675.34,16.24,1708.66,715.54
2720,592.68,4299.63,1054.85,1638.50,1049.09,85.76,107.96,718.70,14.54,1656.08,709.02
2736,552.47,4430.27,1052.82,1559.50,1113.53,91.72,102.03,768.85,13.45,1589.15,713.29
2752,516.75,4574.18,1033.95,1479.71,1187.89,106.71,90.57,813.83,11.42,1503.92,744.94
2768,501.05,4689.69,989.48,1427.09,1249.63,129.91,73.47,830.09,7.75,1428.12,803.05
2784,468.38,4846.83,965.62,1353.66,1330.51,155.40,60.63,863.27,7.61,1344.16,865.13
2800,419.16,5022.64,980.86,1262.09,1425.63,178.58,56.54,922.98,12.84,1250.22,925.95
2816,337.92,5271.87,1058.73,1120.76,1573.67,209.37,66.01,1043.44,30.37,1109.57,1013.19
2832,281.60,5452.91,1134.43,1018.73,1692.30,238.33,79.59,1142.81,49.88,1004.26,1094.82
2848,249.65,5565.01,1184.62,957.84,1769.75,260.28,89.49,1204.15,64.04,941.26,1154.09
2864,245.29,5584.22,1188.72,949.38,1781.33,264.51,89.77,1209.16,65.38,934.46,1163.25
2880,253.10,5536.15,1196.48,962.73,1762.30,254.88,94.27,1216.61,66.75,935.51,1152.00
2896,252.49,5523.24,1216.49,957.79,1769.02,254.56,100.09,1237.35,71.64,919.62,1164.11
2912,259.31,5481.25,1229.31,966.21,1758.65,248.10,106.58,1254.86,75.98,909.38,1167.30
2928,270.04,5454.39,1191.44,996.56,1716.24,234.85,101.45,1224.35,69.10,941.23,1127.34
2944,274.04,5468.04,1143.56,1021.69,1680.12,225.87,92.41,1180.39,59.72,984.14,1079.86
2960,282.03,5478.24,1082.44,1061.41,1626.56,211.62,84.94,1132.02,51.35,1035.94,1021.30
2976,272.55,5560.99,1036.49,1070.52,1612.27,212.87,73.18,1076.50,41.30,1091.90,967.84
2992,265.31,5643.60,985.64,1089.48,1587.41,210.82,64.74,1024.19,34.32,1148.76,913.24
3008,274.22,5698.87,901.11,1155.79,1509.50,192.08,65.83,978.57,35.25,1208.04,854.00
3024,274.09,5790.52,834.79,1203.20,1458.45,183.80,67.36,936.07,38.02,1265.36,804.89
3040,263.63,5954.25,765.45,1246.37,1418.56,184.10,69.70,879.40,43.71,1344.40,746.27
3056,259.22,6074.98,714.08,1287.69,1382.81,183.08,77.12,849.53,53.45,1393.09,717.03
3072,242.34,6224.90,685.42,1299.89,1380.11,193.91,80.49,809.41,61.28,1453.95,682.12
3088,233.40,6331.70,660.47,1319.66,1368.11,198.55,87.33,791.48,70.67,1485.17,670.30
3104,246.94,6340.71,625.76,1370.90,1318.02,183.39,100.66,819.82,80.72,1452.06,701.21
3120,259.02,6386.20,582.79,1434.21,1260.11,168.27,119.03,852.88,95.40,1415.05,740.57
3136,277.77,6283.82,586.97,1440.17,1249.85,157.85,115.48,874.84,87.12,1384.39,749.34
3152,297.64,6116.89,623.27,1403.99,1281.50,158.78,98.51,871.70,68.14,1390.33,722.62
3168,317.77,5961.92,663.97,1363.45,1323.57,166.22,81.92,858.20,51.55,1418.00,685.62
3184,332.32,5833.26,712.95,1309.17,1383.59,183.60,65.14,825.35,39.38,1475.29,637.45
3200,339.98,5745.60,760.70,1252.96,1446.97,205.43,51.60,784.45,33.49,1541.19,593.51
3216,353.80,5662.55,793.95,1219.27,1490.05,220.56,42.66,758.56,29.43,1589.55,561.93
3232,360.68,5608.62,828.11,1180.43,1536.08,238.19,35.82,727.83,29.81,1635.31,539.34
3248,375.40,5526.53,872.89,1133.07,1596.90,262.28,27.67,687.91,31.51,1697.92,510.89
3264,408.53,5409.23,887.80,1133.73,1618.82,271.00,21.03,677.03,25.86,1751.26,473.87
3280,401.51,5452.32,854.10,1172.88,1573.75,252.89,25.01,707.12,21.11,1721.32,478.88
3296,396.00,5482.16,835.01,1195.03,1548.27,242.90,27.58,724.22,18.73,1706.00,481.02
3312,370.06,5594.94,791.28,1241.62,1484.70,217.69,36.62,769.97,15.14,1653.62,496.13
3328,336.84,5738.54,746.21,1291.30,1414.42,190.38,49.21,825.07,12.86,1594.60,514.19
3344,310.81,5857.53,709.86,1335.77,1356.65,168.96,60.63,872.17,11.42,1557.64,522.38
3360,287.65,5967.60,677.98,1377.96,1304.78,150.55,71.76,915.46,10.60,1533.42,524.85
3376,279.30,6002.09,675.25,1381.26,1293.34,145.74,76.32,930.32,11.68,1514.30,533.15
3392,298.48,5914.90,695.41,1353.05,1331.96,159.66,67.18,896.19,12.24,1528.04,535.25
3408,321.09,5822.59,709.35,1334.57,1371.48,175.75,56.44,855.63,12.79,1554.42,533.67
3424,351.53,5705.77,727.63,1312.30,1425.63,198.79,43.80,803.44,15.62,1582.17,539.52
3440,394.82,5547.31,761.29,1273.56,1506.53,232.74,30.96,741.07,23.73,1592.25,566.64
3456,421.66,5468.54,763.87,1278.83,1555.55,259.75,20.49,686.10,30.48,1632.36,577.58
3472,456.99,5390.08,756.78,1308.87,1625.88,304.67,8.20,603.23,45.55,1699.48,602.34
3488,465.81,5427.44,717.16,1388.38,1655.47,341.37,1.94,532.89,62.16,1801.46,615.16
3504,473.18,5492.28,677.41,1479.59,1690.55,385.72,1.35,464.46,86.60,1900.08,645.05
3520,487.35,5506.04,667.30,1522.12,1734.44,422.04,3.22,421.57,106.57,1932.62,683.50
3536,520.73,5467.84,679.66,1542.52,1817.73,473.10,6.63,375.60,131.58,1918.63,746.26
3552,535.13,5470.06,681.11,1565.50,1863.67,504.89,10.32,348.54,148.44,1912.72,786.18
3568,521.56,5575.67,649.30,1638.23,1877.75,536.17,17.68,314.43,172.38,1953.21,829.67
3584,501.80,5710.14,611.92,1724.91,1892.68,573.55,28.42,277.77,202.38,1992.32,885.84
3600,503.12,5774.07,601.56,1774.39,1939.22,614.33,37.47,250.39,226.08,1977.73,937.43
3616,519.27,5874.69,599.22,1857.23,2062.26,704.77,57.69,205.08,271.04,1902.19,1036.62
3632,552.90,6037.92,610.83,1984.83,2270.52,852.91,97.44,154.94,341.69,1762.62,1179.39
3648,596.35,6177.84,640.78,2091.74,2477.94,991.76,139.89,131.91,402.16,1617.10,1287.05
3664,636.67,6366.10,672.39,2221.32,2695.39,1143.62,193.54,121.97,469.95,1468.99,1392.06
3680,709.44,6549.18,742.43,2346.31,2978.16,1319.92,258.55,141.10,532.87,1279.94,1462.88
3696,803.62,6824.39,840.56,2524.21,3342.83,1552.35,354.74,189.89,616.78,1059.99,1533.91
3712,855.03,7168.32,901.72,2737.42,3641.42,1773.14,458.81,238.60,715.62,899.41,1623.41
3728,904.49,7532.10,968.26,2959.11,3943.09,1997.52,570.32,304.71,812.66,752.86,1690.08
3744,926.75,8004.10,1017.54,3248.96,4257.12,2261.41,711.98,385.21,942.64,612.58,1784.61
3760,943.50,8515.59,1070.26,3566.32,4586.51,2545.59,871.55,486.59,1082.80,482.85,1869.45
3776,948.54,9014.53,1115.95,3882.40,4894.35,2823.16,1034.18,596.00,1222.89,375.93,1943.92
3792,978.05,9466.86,1190.18,4162.40,5213.11,3078.98,1181.73,717.02,1324.71,288.57,1950.21
3808,1012.85,10078.77,1292.57,4547.02,5641.79,3425.84,1386.11,892.43,1456.09,194.18,1935.74
3824,1023.42,10868.79,1397.31,5076.38,6166.46,3893.72,1677.92,1136.29,1659.34,102.76,1945.54
3840,1010.21,11626.66,1482.05,5618.23,6660.45,4369.83,1988.84,1394.74,1884.30,44.09,1971.91
3856,1007.56,12371.25,1584.55,6165.79,7172.21,4854.36,2309.01,1673.92,2098.11,16.88,1965.03
3872,1011.54,13052.08,1692.62,6680.41,7660.93,5310.30,2612.18,1946.95,2284.01,17.83,1931.12
3888,983.71,13583.19,1754.57,7133.72,8053.19,5720.45,2898.03,2198.36,2474.94,34.20,1923.64
3904,945.17,13997.38,1793.84,7525.39,8378.87,6082.37,3156.54,2425.67,2648.44,61.07,1916.48
3920,907.69,14224.59,1804.96,7774.91,8575.57,6321.16,3332.28,2579.52,2769.49,84.76,1913.65
3936,870.64,14355.56,1801.43,7951.78,8708.28,6498.30,3466.14,2696.56,2862.62,105.68,1909.60
3952,871.01,14315.65,1792.54,7917.51,8672.62,6469.54,3449.11,2679.97,2861.42,102.02,1924.05
3968,872.50,14316.38,1793.80,7915.07,8671.61,6466.24,3446.19,2677.50,2858.83,101.57,1923.70
3984,882.65,14366.41,1813.32,7932.23,8700.52,6467.22,3437.27,2671.01,2835.75,100.59,1907.57
4000,917.22,14514.77,1874.39,7968.27,8772.37,6448.51,3393.91,2635.24,2760.38,94.39,1873.15
4016,929.82,14560.87,1894.49,7973.72,8789.12,6435.03,3374.93,2618.88,2736.05,91.48,1868.00
4032,984.52,14790.77,1990.52,8009.20,8871.45,6371.28,3283.74,2537.89,2625.48,77.24,1860.20
4048,1069.38,15149.14,2140.74,8060.21,8986.36,6261.95,3138.70,2407.59,2471.59,57.13,1880.14
4064,1190.07,15616.66,2343.72,8101.15,9101.05,6084.34,2933.20,2222.55,2299.86,34.01,1962.25
4080,1308.91,16153.22,2570.11,8195.82,9263.65,5925.77,2732.35,2039.59,2132.32,19.17,2070.10
4096,1390.35,16387.46,2681.89,8167.21,9261.03,5786.07,2611.91,1935.10,2094.95,11.73,2167.04
4112,1446.74,16517.34,2747.99,8122.90,9227.76,5682.37,2535.76,1871.53,2093.91,7.51,2236.50
4128,1478.25,16631.33,2799.17,8121.24,9233.28,5625.66,2486.50,1829.20,2085.18,5.58,2281.65
4144,1498.35,16826.57,2876.76,8188.55,9311.33,5583.74,2423.29,1769.63,2047.20,4.60,2344.14
4160,1499.26,17034.70,2955.52,8301.65,9434.60,5564.91,2362.48,1708.19,1996.01,5.32,2413.52
4176,1487.04,17183.75,3010.38,8410.79,9551.17,5566.93,2320.77,1662.88,1950.99,7.26,2469.64
4192,1502.47,17385.09,3092.66,8473.92,9614.90,5506.39,2251.71,1601.81,1943.83,7.83,2544.54
4208,1529.44,17615.95,3189.72,8515.66,9650.59,5414.30,2171.67,1536.99,1962.43,8.08,2620.98
4224,1581.97,17866.18,3298.21,8496.79,9615.66,5280.17,2091.02,1483.08,2022.00,7.20,2672.89
4240,1631.78,17960.00,3340.07,8416.28,9522.77,5203.18,2074.33,1484.97,2072.41,5.18,2653.34
4256,1666.40,18046.57,3377.57,8366.14,9461.71,5144.85,2059.77,1484.98,2109.85,4.10,2639.20
4272,1709.83,18158.79,3425.30,8299.81,9379.47,5073.67,2047.37,1491.73,2157.39,2.86,2610.22
4288,1772.64,18406.56,3531.24,8220.65,9264.68,4936.09,2010.98,1493.66,2248.99,2.31,2565.05
4304,1819.73,18748.96,3680.28,8192.58,9185.64,4763.69,1946.50,1479.11,2365.36,4.84,2526.57
4320,1881.17,19272.67,3912.30,8164.33,9071.29,4508.07,1861.66,1474.11,2549.64,13.63,2445.93
4336,1917.46,19798.62,4152.28,8187.87,9001.07,4260.77,1776.37,1471.49,2739.89,29.07,2365.66
4352,1990.49,20302.88,4379.28,8123.39,8842.30,4043.93,1753.02,1526.00,2907.22,45.33,2237.52
4368,2044.62,20596.46,4509.61,8057.19,8720.21,3931.63,1763.40,1578.49,2989.69,54.44,2150.63
4384,2055.23,20885.43,4648.25,8074.15,8672.71,3807.29,1744.34,1608.71,3091.02,68.05,2078.54
4400,2084.41,21087.01,4738.96,8035.94,8593.00,3740.10,1759.98,1650.56,3134.34,73.81,2022.73
