SampleIdx,F_990Hz,F_992Hz,F_994Hz,F_996Hz,F_998Hz,F_1000Hz,F_1002Hz,F_1004Hz,F_1006Hz,F_1008Hz,F_1010Hz
18576,18539.39,56696.20,31424.36,5341.56,15698.26,116277.08,14430.12,20732.34,28186.35,2347.33,29667.94
18592,18942.02,55958.86,31783.11,5125.71,15581.78,115265.06,14507.45,20533.30,28052.30,2335.47,30169.90
18608,18909.93,56008.92,31764.13,5143.19,15597.58,115350.00,14493.42,20539.14,28050.29,2340.01,30123.87
18624,18948.16,56269.17,31443.60,5147.09,15426.50,115425.39,14659.77,20814.62,28350.17,2273.35,30020.19
18640,18901.52,56506.45,31250.39,5189.60,15390.66,115662.77,14689.96,20930.46,28447.16,2265.90,29861.50
18656,18575.45,57104.90,31019.25,5383.45,15594.87,116579.51,14470.33,20852.01,28232.91,2370.69,29446.49
18672,18391.43,57691.73,30662.68,5538.58,15672.25,117379.33,14363.34,20905.50,28164.18,2446.00,29026.27
18688,18329.96,57965.37,30477.58,5608.21,15696.39,117753.83,14320.28,20938.04,28134.43,2483.96,28825.63
18704,18226.20,57980.43,30580.83,5633.62,15794.53,117776.44,14240.18,20817.58,28016.67,2500.58,28920.68
18720,18235.23,57747.34,30772.62,5575.67,15782.19,117427.51,14287.70,20807.59,28078.28,2456.58,29078.71
18736,18247.30,57602.29,30882.42,5536.17,15760.57,117200.52,14333.21,20825.99,28144.57,2424.56,29154.25
18752,18259.73,57515.85,30938.23,5511.20,15737.83,117073.89,14368.36,20853.88,28196.76,2406.75,29167.77
18768,18172.11,57477.05,31073.67,5506.63,15791.51,116903.53,14360.76,20802.86,28203.87,2379.77,29300.44
18784,17999.64,57666.50,31132.42,5571.16,15946.78,116972.25,14249.23,20636.13,28072.85,2380.32,29505.56
18800,17783.97,57919.26,31203.89,5653.40,16142.74,117032.37,14119.37,20436.43,27934.25,2371.45,29773.44
18816,17531.81,58113.55,31378.23,5712.93,16335.80,116861.30,14046.80,20281.23,27911.28,2320.53,30066.89
18832,17116.12,58348.82,31748.53,5775.34,16607.52,116340.02,14024.63,20138.29,28040.35,2201.64,30455.53
18848,16606.27,58671.74,32212.41,5854.33,16936.29,115621.52,14045.36,20026.88,28293.46,2043.45,30856.77
